id,condition,value
S01,neutral,0.3676745721810949
S01,emotion,0.9461131758685517
S02,neutral,1.7097131285323184
S02,emotion,2.9718741720685657
S03,neutral,1.287289316077432
S03,emotion,1.4416962655010583
S04,neutral,1.1190081101359355
S04,emotion,2.1148663680711883
S05,neutral,1.9845733004776493
S05,emotion,1.4701183490896723
S06,neutral,0.8068987686455311
S06,emotion,1.066367670445422
S07,neutral,-1.085635140853756
S07,emotion,-0.6627751079887623
S08,neutral,3.002497316279836
S08,emotion,1.8220302556654968
S09,neutral,2.9788605988244115
S09,emotion,2.7147168021575445
S10,neutral,0.8220807004716494
S10,emotion,-0.3004166459755342
S11,neutral,3.7288553173350847
S11,emotion,3.7797320944370822
S12,neutral,1.457607232493427
S12,emotion,2.863051814628638
S13,neutral,3.231351441014299
S13,emotion,3.790729726577344
S14,neutral,1.7493262980147066
S14,emotion,-0.17375553618203332
S15,neutral,1.8928529749398524
S15,emotion,2.1270938090202884
S16,neutral,1.4876589605101775
S16,emotion,1.812461078155021
S17,neutral,1.5574811804565192
S17,emotion,3.616048887738483
S18,neutral,1.46747990821
S18,emotion,0.8130350019021912
S19,neutral,0.628407845198015
S19,emotion,2.53973506869418
S20,neutral,-0.5960825785832025
S20,emotion,-0.45769393962878446
S21,neutral,0.3819179892592852
S21,emotion,1.0611599512826926
S22,neutral,1.98389052896009
S22,emotion,1.981512977874831
S23,neutral,-0.5191026046119223
S23,emotion,1.774899084335737
S24,neutral,1.4037110445061787
S24,emotion,1.9848763507300795
S25,neutral,2.009745483783643
S25,emotion,0.7042934356880388
S26,neutral,2.0490973228597498
S26,emotion,2.965716894435985
S27,neutral,3.6393644912487106
S27,emotion,3.1679366877783637
S28,neutral,0.7488299064117757
S28,emotion,0.7368130310698524
S29,neutral,1.3091755470865798
S29,emotion,1.4835179999949988
S30,neutral,2.3051303236388545
S30,emotion,4.5772323298478
S31,neutral,-1.3696506992611515
S31,emotion,-0.8689101462945064
S32,neutral,1.482012259726773
S32,emotion,1.348468761809963
S33,neutral,2.8263137036591663
S33,emotion,5.581203646211632
S34,neutral,2.572914839329365
S34,emotion,6.013396755889865
S35,neutral,1.9723894849462296
S35,emotion,2.055811850090256
S36,neutral,0.9177839375057661
S36,emotion,0.5439849640716861
S37,neutral,1.1069799951751367
S37,emotion,2.614544013015898
S38,neutral,0.6103537409341815
S38,emotion,1.1841717312070679
S39,neutral,2.3986307220894427
S39,emotion,4.546669411774689
S40,neutral,-0.28043120800297916
S40,emotion,1.4129843837657203
S41,neutral,1.465706565044521
S41,emotion,2.8319605111673827
S42,neutral,1.2967971712081034
S42,emotion,3.462516055582278
S43,neutral,0.24244784051490287
S43,emotion,1.1909403067336466
S44,neutral,1.8944784414543798
S44,emotion,3.5823723110355363
S45,neutral,0.39582263343657165
S45,emotion,1.1156325265330167
S46,neutral,1.160789424876459
S46,emotion,3.5694609319776376
S47,neutral,3.003060425140341
S47,emotion,3.412135191151452
S48,neutral,1.0743014879133637
S48,emotion,0.1808484075605037
S49,neutral,2.0430069356640805
S49,emotion,4.0351667969315965
S50,neutral,0.9506307134093701
S50,emotion,1.3190677911239364
